Production Date,Printed Date,Printed Date,Mailed Date,Mailed Date,01. Survey Only/Survey,03. Thank You Survey Only /Letter,03. Thank You Survey Only /Envelope,04. Thank You With Warranty ONLY/Letter,04. Thank You With Warranty ONLY/Warranty,04. Thank You With Warranty ONLY/Envelope,05. Warranty Only /Warranty,05. Warranty Only /Envelope,06. Thank You Only /Letter,06. Thank You Only /Envelope,"07. Thank You, Warranty & Survey /Letter","07. Thank You, Warranty & Survey /Warranty","07. Thank You, Warranty & Survey /Envelope","07. Thank You, Warranty & Survey /Survey",10. 3 Month /Letter,10. 3 Month /Envelope,11. Birthday /Letter,11. Birthday /Envelope,12. Drivers /Letter,12. Drivers /Envelope,13. 6 Month /Letter,13. 6 Month /Envelope,14. 1 Year /Letter,14. 1 Year /Envelope,15. 18 Month /Letter,15. 18 Month /Envelope,16. 2 Year /Letter,16. 2 Year /Envelope,T. Total Loss /Letter,T. Total Loss /Envelope,E. Estimate Follow-Up /Letter,E. Estimate Follow-Up /Envelope,A. Agent Report Card /Letter,A. Agent Report Card /Envelope,S. Special Mailing /Letter,S. Special Mailing /Envelope
08/10/21,08/10/21,0,08/12/21,2,21,0,0,13,13,13,21,21,1,1,693,693,693,693,1203,1203,0,0,34,34,36,36,1385,1385,954,954,218,218,2,2,0,0,0,0,0,0
08/12/21,08/12/21,0,08/16/21,4,0,0,0,80,80,80,0,0,0,0,197,197,197,197,234,234,0,0,11,11,4,4,88,88,170,170,69,69,0,0,0,0,0,0,0,0
08/17/21,08/21/21,4,08/24/21,7,1,0,0,0,0,0,0,0,0,0,815,815,815,815,324,324,0,0,18,18,13,13,640,640,391,391,52,52,0,0,0,0,11,11,0,0
08/19/21,08/21/21,2,08/25/21,6,13,14,14,4,4,4,0,0,28,28,462,462,462,462,176,176,0,0,4,4,0,0,81,81,145,145,58,58,0,0,0,0,0,0,2610,2610
08/24/21,08/25/21,1,08/27/21,3,0,0,0,0,0,0,0,0,67,67,654,654,654,654,210,210,0,0,18,18,7,7,656,656,377,377,43,43,0,0,13,13,0,0,0,0
08/25/21,08/26/21,1,08/30/21,5,0,0,0,54,54,54,0,0,0,0,73,73,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/26/21,08/29/21,3,08/30/21,4,36,0,0,69,69,69,36,36,19,19,534,534,534,534,228,228,80,80,7,7,4,4,113,113,180,180,63,63,5,5,0,0,7,7,2420,2420
08/31/21,08/31/21,0,09/03/21,3,11,0,0,101,101,101,0,0,12,12,621,621,621,621,318,318,10,10,15,15,10,10,673,673,293,293,70,70,4,4,8,8,0,0,0,0
09/02/21,09/03/21,1,09/07/21,5,0,0,0,17,17,17,0,0,0,0,312,312,312,312,270,270,72,72,7,7,4,4,2,2,167,167,59,59,4,4,0,0,0,0,0,0
09/07/21,09/08/21,1,09/09/21,2,0,0,0,154,154,154,0,0,0,0,246,246,246,246,459,459,0,0,11,11,2,2,527,527,316,316,64,64,1,1,0,0,0,0,0,0
09/09/21,09/09/21,0,09/10/21,1,0,0,0,7,7,7,0,0,0,0,271,271,271,271,147,147,0,0,5,5,5,5,111,111,166,166,64,64,0,0,6,6,0,0,0,0
09/14/21,09/15/21,1,09/16/21,2,0,0,0,100,100,100,0,0,0,0,411,411,411,411,353,353,0,0,9,9,11,11,602,602,271,271,79,79,0,0,0,0,2,2,0,0
09/16/21,09/18/21,2,09/20/21,4,30,0,0,164,164,164,0,0,0,0,483,483,483,483,186,186,5,5,4,4,0,0,95,95,156,156,57,57,3,3,0,0,0,0,0,0
09/21/21,09/21/21,0,09/22/21,1,5,0,0,12,12,12,0,0,0,0,454,454,454,454,397,397,1,1,10,10,14,14,633,633,228,228,95,95,1,1,0,0,0,0,0,0
09/23/21,09/23/21,0,09/27/21,4,0,0,0,57,57,57,0,0,22,22,606,606,606,606,178,178,2,2,4,4,0,0,99,99,140,140,58,58,7,7,0,0,0,0,0,0
09/28/21,09/28/21,0,09/30/21,2,0,0,0,95,95,95,0,0,0,0,1044,1044,1044,1044,111,111,1,1,19,19,0,0,684,684,210,210,66,66,0,0,0,0,0,0,0,0
09/30/21,10/02/21,2,10/05/21,5,8,0,0,47,47,47,0,0,0,0,390,390,390,390,376,376,2,2,1,1,0,0,86,86,113,113,66,66,0,0,0,0,14,14,1479,1479
10/05/21,10/06/21,1,10/07/21,2,0,0,0,39,39,39,0,0,0,0,632,632,632,632,246,246,74,74,11,11,0,0,650,650,177,177,86,86,19,19,9,9,0,0,0,0
10/07/21,10/07/21,0,10/11/21,4,23,20,20,16,16,16,0,0,0,0,496,496,496,496,348,348,1,1,4,4,0,0,106,106,99,99,60,60,4,4,0,0,0,0,0,0
10/12/21,10/12/21,0,10/14/21,2,60,1,1,65,65,65,59,59,0,0,487,487,487,487,429,429,0,0,12,12,0,0,677,677,168,168,59,59,1,1,8,8,0,0,0,0
10/14/21,10/14/21,0,10/15/21,1,17,10,10,3,3,3,0,0,0,0,396,396,396,396,229,229,8,8,7,7,0,0,110,110,104,104,68,68,0,0,0,0,4,4,0,0
10/19/21,10/19/21,0,10/21/21,2,0,0,0,48,48,48,0,0,0,0,575,575,575,575,515,515,0,0,11,11,0,0,663,663,203,203,78,78,10,10,0,0,0,0,0,0
10/21/21,10/21/21,0,10/22/21,1,1,0,0,8,8,8,0,0,0,0,375,375,375,375,97,97,0,0,6,6,0,0,82,82,73,73,66,66,0,0,0,0,0,0,0,0
10/26/21,10/26/21,0,10/28/21,2,6,6,6,1,1,1,0,0,28,28,559,559,559,559,575,575,3,3,6,6,0,0,690,690,169,169,62,62,2,2,0,0,0,0,0,0
10/28/21,10/28/21,0,11/01/21,4,0,0,0,0,0,0,0,0,0,0,686,686,686,686,139,139,8,8,5,5,0,0,75,75,75,75,58,58,3,3,0,0,4,4,0,0
11/02/21,11/03/21,1,11/03/21,1,23,0,0,300,300,300,0,0,0,0,585,585,585,585,474,474,70,70,17,17,0,0,609,609,207,207,72,72,9,9,0,0,0,0,0,0
11/04/21,11/04/21,0,11/08/21,4,1,1,1,29,29,29,0,0,0,0,415,415,415,415,152,152,1,1,4,4,0,0,97,97,112,112,60,60,1,1,0,0,0,0,0,0
11/09/21,11/10/21,1,11/11/21,2,8,8,8,108,108,108,0,0,0,0,363,363,363,363,240,240,0,0,24,24,0,0,654,654,213,213,64,64,1,1,0,0,0,0,122,122
11/11/21,11/11/21,0,11/15/21,4,0,0,0,30,30,30,0,0,0,0,516,516,516,516,313,313,2,2,10,10,0,0,97,97,136,136,54,54,1,1,10,10,0,0,0,0
11/16/21,11/17/21,1,11/18/21,2,1,0,0,98,98,98,0,0,0,0,541,541,541,541,452,452,2,2,18,18,0,0,644,644,194,194,79,79,1,1,0,0,8,8,0,0
11/18/21,11/20/21,2,11/22/21,4,0,0,0,7,7,7,0,0,0,0,667,667,667,667,239,239,0,0,4,4,0,0,95,95,105,105,7,7,4,4,0,0,0,0,0,0
11/23/21,11/24/21,1,11/29/21,6,7,7,7,134,134,134,0,0,0,0,385,385,385,385,401,401,1,1,17,17,0,0,448,448,260,260,42,42,1,1,0,0,0,0,0,0
11/30/21,12/01/21,1,12/02/21,2,35,7,7,130,130,130,0,0,0,0,947,947,947,947,308,308,2,2,5,5,0,0,678,678,345,345,109,109,3,3,0,0,4,4,0,0
12/02/21,12/03/21,1,12/06/21,4,74,0,0,0,0,0,74,74,0,0,407,407,407,407,235,235,1,1,3,3,0,0,97,97,151,151,65,65,11,11,0,0,0,0,0,0
12/07/21,12/08/21,1,12/09/21,2,0,0,0,118,118,118,0,0,0,0,791,791,791,791,235,235,0,0,14,14,0,0,640,640,244,244,47,47,0,0,0,0,0,0,1265,1265
12/09/21,12/10/21,1,12/13/21,4,3,0,0,0,0,0,0,0,0,0,388,388,388,388,223,223,0,0,2,2,0,0,88,88,124,124,52,52,0,0,10,10,0,0,426,426
12/14/21,12/15/21,1,12/17/21,3,4,4,4,39,39,39,0,0,0,0,1203,1203,1203,1203,276,276,0,0,10,10,0,0,622,622,254,254,44,44,0,0,0,0,0,0,374,374
12/16/21,12/16/21,0,12/20/21,4,37,5,5,58,58,58,32,32,0,0,229,229,229,229,408,408,0,0,5,5,0,0,94,94,139,139,40,40,3,3,0,0,9,9,0,0
12/17/21,12/17/21,0,12/21/21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095,1095
12/21/21,12/21/21,0,12/23/21,2,1,1,1,14,14,14,0,0,0,0,539,539,539,539,703,703,3,3,13,13,0,0,384,384,268,268,42,42,4,4,0,0,0,0,0,0
12/23/21,12/23/21,0,12/27/21,4,15,0,0,2,2,2,0,0,0,0,289,289,289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/28/21,12/29/21,1,12/30/21,2,0,0,0,104,104,104,0,0,0,0,133,133,133,133,539,539,0,0,23,23,0,0,470,470,352,352,92,92,2,2,0,0,0,0,0,0
12/30/21,12/30/21,0,01/03/22,4,0,0,0,65,65,65,0,0,0,0,568,568,568,568,225,225,0,0,4,4,0,0,86,86,129,129,49,49,28,28,0,0,10,10,0,0
01/04/22,01/05/22,1,01/05/22,1,0,0,0,34,34,34,0,0,0,0,395,395,395,395,415,415,129,129,11,11,0,0,607,607,248,248,66,66,3,3,7,7,0,0,0,0
01/06/22,01/07/22,1,01/10/22,4,0,0,0,37,37,37,0,0,0,0,404,404,404,404,187,187,0,0,4,4,0,0,101,101,135,135,45,45,0,0,0,0,0,0,0,0
01/11/22,01/12/22,1,01/13/22,2,0,0,0,86,86,86,0,0,0,0,447,447,447,447,392,392,1,1,13,13,0,0,647,647,302,302,56,56,4,4,0,0,0,0,0,0
01/13/22,01/13/22,0,01/14/22,1,0,0,0,15,15,15,0,0,0,0,161,161,161,161,285,285,4,4,6,6,0,0,137,137,141,141,48,48,1,1,0,0,0,0,0,0
01/18/22,01/19/22,1,01/20/22,2,24,24,24,57,57,57,0,0,0,0,504,504,504,504,290,290,1,1,9,9,0,0,677,677,256,256,59,59,0,0,0,0,0,0,0,0
01/20/22,01/21/22,1,01/22/22,2,0,0,0,4,4,4,0,0,0,0,482,482,482,482,162,162,1,1,11,11,0,0,97,97,133,133,63,63,11,11,0,0,0,0,1595,1595
01/25/22,01/26/22,1,01/27/22,2,0,0,0,114,114,114,0,0,0,0,752,752,752,752,337,337,3,3,13,13,0,0,744,744,308,308,56,56,2,2,0,0,0,0,0,0
01/27/22,01/29/22,2,01/31/22,4,15,0,0,10,10,10,0,0,0,0,366,366,366,366,201,201,0,0,6,6,0,0,80,80,125,125,52,52,0,0,0,0,5,5,0,0
02/01/22,02/01/22,0,02/02/22,1,36,1,1,52,52,52,35,35,0,0,454,454,454,454,110,110,75,75,16,16,0,0,572,572,264,264,72,72,6,6,0,0,0,0,0,0
02/03/22,02/03/22,0,02/07/22,4,0,0,0,29,29,29,0,0,0,0,369,369,369,369,376,376,3,3,7,7,0,0,86,86,120,120,47,47,2,2,9,9,0,0,182,182
02/08/22,02/10/22,2,02/10/22,2,0,0,0,51,51,51,0,0,0,0,614,614,614,614,402,402,0,0,11,11,0,0,647,647,248,248,60,60,1,1,0,0,0,0,0,0
02/10/22,02/11/22,1,02/14/22,4,0,0,0,1,1,1,0,0,0,0,172,172,172,172,315,315,1,1,6,6,0,0,94,94,145,145,68,68,3,3,0,0,0,0,0,0
02/15/22,02/16/22,1,02/17/22,2,0,0,0,26,26,26,0,0,0,0,522,522,522,522,264,264,2,2,12,12,0,0,497,497,250,250,41,41,1,1,0,0,6,6,0,0
02/17/22,02/18/22,1,02/21/22,4,39,35,35,7,7,7,0,0,0,0,297,297,297,297,277,277,2,2,11,11,0,0,87,87,146,146,68,68,0,0,5,5,0,0,0,0
02/22/22,02/23/22,1,02/24/22,2,28,0,0,7,7,7,28,28,109,109,621,621,621,621,209,209,0,0,13,13,0,0,697,697,312,312,51,51,10,10,0,0,0,0,0,0
02/24/22,02/25/22,1,02/25/22,1,0,0,0,0,0,0,0,0,0,0,310,310,310,310,324,324,0,0,0,0,0,0,101,101,145,145,60,60,12,12,0,0,0,0,0,0
